,Authors,Title,Cities,Publisher,Years,Fund,Segni
203,"Barbarani, Tiberio Umberto", Le père Goriot. Introduzione e note di A. Prioult,Manuale di storia del Medioevo (dal 476 al,Cluny,1902,BTB Segn. 1449 ,nan
204,"Bàrberi Squarotti, Giorgio", Les petits bourgeois,Manuale di storia moderna e contemporanea (,CalmannLévy,1834,BTB Segn. 1449 ,nan
205,"Barbet, Pierre", Splendori e miserie delle cortigiane,Apollonio,Garzanti,1919,BTB Segn. 192 ,Nota di possesso autografa in data 18.09.1915 Milano. Parzialmente intonso.
206,"Barbiera, Raffaello", Una figlia d’Eva,Bologna,Carabba,1822,BTB Segn. 751 ,nan
207,"Barbiera, Raffaello",Villa Amalia,Padova,Cairoli,1935,BAL ,nan
208,"Barbiera, Raffaello",Novelle,Firenze,Garzanti,1951,BTB Segn. 752 ,nan
209,"Barbiera, Raffaello", Tutte le opere di Matteo Bandello,Milano,Vallecchi,1922,BTB Segn. 753 ,nan
210,"Barbiera, Raffaello",Claretta,"Milano, Tre ves",Longanesi,1967,BTB Segn. 754 ,Nota di possesso autografa.
211,"Barbiera, Raffaello",Allarme sul lago,Milano,Mondadori,1968,BTB Segn. 755 ,Intonso.
212,"Bardi, Pietro",. Artemisia,Milano,Mondadori,1873,BTB Segn. 756 ,nan
213,"Baretti, Giuseppe",. Corte Savella,Il salotto della contessa Maffei ela società milanese (,Mondadori,1825,BTB Segn. 757 ,Nota di possesso autografa di Luisa Gadda.
214,"Bargellini, Piero",Manuale di storia antica (,"Bari, Laterza",Manuale di storia antica (,1908,BTB Segn. 2420 ,nan
215,"Bargellini, Piero",Id,"Milano,Bianchi",Id. Manuale di storia del Medioevo (dal 476 al,1955,BTB Segn. 193-194 ,nan
216,"Barilli, Bruno",Id,"Brescia, Morcelliana",Id. Manuale di storia moderna e contemporanea (,1958,BTB Segn. 758 ,Parzialmente intonso.
217,.,"I due canzonieri. Verona, Tipografia P",Firenze,Tipografia P. Apollonio,1964,BTB Segn. 759 ,nan
218,"Barni, Edoardo",La narrativa italiana del dopoguerra,"Lanciano, Carabba",Cappelli,1951,BTB Segn. 1433 ,Intonso.
219,"Barolini, Antonio",La passione di Cristo secondo il chirurgo,,Lice,1932,BTB Segn. 2064 ,nan
220,"Barolini, Antonio",Carlo Porta e la sua Milano,Brescia,Barbera,1954,BAL ,Dedica dell’autore
221,"Barone, Carlo", Diademi. Donne e madonne dell’Ottocento,"Milano, Feltrinelli",Garzanti,1928,BAL ,nan
222,"Barozzi da Vignola, Giacomo", Immortali e dimenticati,Milano,Tre ves,1960,BTB Segn. 2421 ,nan
223,"Barozzi da Vignola, Giacomo",Passioni del Risorgimento. Condocumenti inediti e illustrazioni,,Treves,1919,BTB Segn. 2248 ,Parzialmente intonso.
224,"Barzini, Luigi",La Principessa Belgiojoso: i suoiamici e nemici – il suo tempo,"MilanoNapoli,Pagnoni",Treves,1923,BTB Segn. 2283 ,nan
225,"Barzini, Luigi jr.",Id,Milano,Id.Il salotto della contessa Maffei ela società milanese (,1942,BTB Segn. 2347 ,nan
226,"Barzini, Luigi jr.",Grammatica inglese con introduzione e note storiche,Milano,Laterza,1949,BTB Segn. 1500 ,nan
227,"Barzini, Luigi jr.","Scritti scelti, inediti o rari connuove  memorie della sua vita.Prefazione di P. Custodi",Milano,Bianchi,1857,BTB Segn. 196 ,Dedica dell’autore in data 2.6.1958.
228,"Barzini, Luigi jr.",Giosuè Carducci,"Torino, Einaudi",Morcelliana,1942,BAL ,Dedica dell’autore.
229,"Bassi, Domenico",Pian dei Giullari: panorama storico della letteratura italiana (vol. 1:Dalle origini alla fine del Quattrocento),"Torino, Einaudi",Vallecchi,1917,BAL ,nan
230,"Battaglia, Achille",Il paese del melodramma,"Milano, Mondadori",s.d.,1937,BTB Segn. 1930 ,nan
231,"Battaglia, Felice",,Firenze,.,1961,BTB Segn. 1725 ,nan
232,"Battaglia, Roberto",Elettrotecnica. Manuale teoricopratico di elettricità industriale,"Roma, Associazione italiana per la libertà della cultura",Vannini,1950,BTB Segn. 954 ,Nota di possesso autografa in data 17.09.1919 Milano.
233,"Baudelaire, Charles",Le notti della paura,"Firenze, Le Monnier",Feltrinelli,1945,BTB Segn. 953 ,Parzialmente intonso.
234,"Baudelaire, Charles",L’ultima contessa di famiglia,Roma,Feltrinelli,1929,BTB Segn. 957 ,nan
235,"Baudelaire, Charles","Manual of conversation EnglishItalian with the Italian figured pronounciation for Englishtourist in Italy. Milano, Bietti,s.d","Paris, CalmannLévy",s.d.,1961,BTB Segn. 956 ,nan
236,"Baudelaire, Charles",Li cinque ordini di architettura.Coll’aggiunta di diverse altre regole ad istruzione della gioventùad uso delle scuole e delle accademie d’Italia,"Milano, L’Esame",Pagnoni,1962,BTB Segn. 958 ,nan
237,"Baudelaire, Charles",Gli ordini d’architettura civile,Torino,Vallardi,1952,BTB Segn. 1213 ,Dedica del curatore.
238,"Baudelaire, Charles",La metà del mondo vista daun’automobile,Torino,Hoepli,1920,BTB Segn. 960 ,Nota di possesso autografa in data 16.09.1919 Milano.
239,"Baudelaire, Charles",jr.I comunisti non hanno vinto,Les fleurs du mal:,Mondadori,1949,BTB Segn. 961 ,nan
240,"Baudelaire, Charles",Gli occhiali d’oro,Torino,Einaudi,1972,BAL ,nan
241,"Baudelaire, Charles",Dietro la porta,,Einaudi,1944,BTB Segn. 2129 ,nan
242,"Bavagnoli, Carlo",Un’altra libertà,Paris,Mondadori,1884,BTB Segn. 197 ,nan
243,"Baxter, James Phinney", La Bibbia,"Paris,Cluny",Nemi,1962,BTB Segn. 198 ,nan
244,"Beccaria, Cesare",L’articolo 104 e la magistratura,"Milano, AmilcarePizzi",Associazione italiana per la libertà della cultura,1930,BTB Segn. 1237 ,nan
245,"Beccaria, Cesare",Marsilio da Padova e la filosofia politica del Medio Evo,"Milano, Bompiani",Le Monnier,1938,BAL ,nan
246,"Beckett, Samuel",La seconda guerra mondiale,"Firenze, Le Monnier",Editori Riuniti,1972,BTB Segn. 962-963 ,nan
247,"Beckett, Samuel",L’art romantique,Milano,CalmannLévy,1968,BAL ,nan
248,"Bédier, Joseph",Charles Baudelaire critico d’arte. Curiosità estetiche: «L’arte romantica»: Opere postume. Raccolta completa di saggi baudelairiani a cura de «L’Esame»,Torino,L’Esame,1932,BTB Segn. 2264 ,nan
249,"Beecher Stowe, Enrichetta",Diari intimi,Milano,Einaudi,1942,BAL ,nan
250,Belleza de España. Guía de arte,Diari intimi,Milano,Einaudi,1938,BTB Segn. 202 ,nan
251,"Bellezza, Dario", Id,Sesto San Giovanni,* Id.Les fleurs du mal:,1915,BAL ,"Nota di possesso autografa, Carlo Emilo  Gadda Roma 1945."
252,"Belli, Giuseppe Gioachino",Giornali intimi,Barcelona,Einaudi,1948,BTB Segn. 201 ,nan
253,"Belli, Giuseppe Gioachino","Morale del giocattolo. Kleist,Heinrich von, Sul teatro di marionette. ,Bambole.Firenze, FussiSansoni, s.d. («Ilmelagrano»: 9).Edizione di 20 copie numerate","Milano, Garzanti",s.d. («Ilmelagrano»: 9).Edizione di 20 copie numerate.,1925,BTB Segn. 199 ,nan
254,"Belli, Giuseppe Gioachino",Le spleen de Paris. Petits poèmesen prose,Milano,Crès,1954,BTB Segn. 200 ,Pieghe e postille.
255,"Belli, Giuseppe Gioachino","Le spleen de Paris. Petits poëmesen prose, suivis des Journaux intimes et de Choix de maximesconsolantes sur l’amour",,Cluny,1905,BAL ,Dedica dell’autore in data 9.10.1951.
256,"Belli, Giuseppe Gioachino",Cara Parma,Firenze,AmilcarePizzi,1951,BAL ,nan
257,"Bellonci, Goffredo",La scienza in lotta col tempo. Traduzione di M.F. Oddera. Introduzione di V. Bush,Torino,Bompiani,1948,BAL ,nan
258,"Belvero, Enrico",Dei delitti e delle pene,Roma,Le Monnier,1950,BTB Segn. 2176 ,nan
259,"Benco, Silvio", Scritti maggiori. Con un saggio di P. Villari,"Urbino, Istituto d’arte del libro",Bietti,1946,BTB Segn. 203 ,Parzialmente intonso.
260,"Bendinelli, Goffredo",Poesie in inglese. Wilcock,"Milano, Todariana",Einaudi,1946,BTB Segn. 204 ,Intonso.
261,"Benedetti, Arrigo", Proust,"Trieste,  Umana",Sugar Editore,1946,BAL ,"Nota di possesso autografa, C.E. Gadda Milano 1920."
262,"Benedetti, Arrigo",Il romanzo di Tristano e Isotta,Roma,Rizzoli,1936,BTB Segn. 1238 ,nan
263,"Benelli, Sam",La capanna dello zio Tom,"Torino, Einaudi",Barion,1919,BTB Segn. 1117 ,Nota di possesso autografa in data 10.1931.
264,"Benet, Stephen Vincent",Belleza de España. Guía de arte y paisaje. Prefazione di W. Fernandez Florez,"Firenze, Parenti",Aedos,1946,BTB Segn. 1156 ,nan
265,"Benjamin, René",Lettere da Sodoma,"Milano, Treves",Garzanti,1946,BTB Segn. 2219 ,nan
266,"Benn, Gottfried",Cento sonetti,Milano,Bompiani,1920,BTB Segn. Op. 106 ,nan
267,"Beraudi, Sebastiano", Er Commedione,Paris,Id. Er Commedione.,1909,BTB Segn. 1815 ,Parzialmente intonso.
268,"Berenson, Bernard", Duecento sonetti in dialetto romanesco,Firenze,Barbera,1961,BTB Segn. 1814 ,Parzialmente intonso.
269,"Berenson, Bernard"," Lettere, giornali, zibaldone. Introduzione di C. Muscetta","Torino, Paravia",Einaudi,1933,BTB Segn. 1816 ,Intonso.
270,"Berenson, Bernard", Sonetti. Vol. 1,Firenze,Formìggini,1924,BTB Segn. 1817 ,nan
271,"Bergson, Henri",Cristoforo Colombo,Firenze,Istituto d’arte del libro,1924,BTB Segn. 1818 ,nan
272,"Bergson, Henri",Una stagione,"Firenze, Le Monnier",Todariana,1954,BTB Segn. 1819 ,nan
273,"Bergson, Henri",Ricordi di Antonio Smareglia,"Paris, Presses Universitaires de France",Umana,1939,BTB Segn. 1820 ,Intonso.
274,"Bergson, Henri",Iconografia imperiale romana. I,"Paris, Presses Universitaires de France",Istituto Nazionale L.U.C.E.,1881,BTB Segn. 1822 ,nan
275,"Bergson, Henri",Le donne fantastiche,"Paris, Presses Universitaires de France",Einaudi,1925,BTB Segn. 1821 ,nan
276,"Bergson, Henri", La figlia del capitano,Milano,Parenti,1931,BTB Segn. 2349 ,nan
277,"Bergson, Henri",La cena delle beffe,"Lanciano, Carabba",Treves,1928,BAL ,nan
278,"Berkeley, George",La valle delle Sabine,"Paris, Presses Universitaires de France",Longanesi,1930,BTB Segn. 205 ,nan
279,"Berkeley, George",La prodigieuse vie d’Honoré de Balzac,"Paris, Presses Universitaires de France",Plon,1927,BTB Segn. 206 ,nan
280,"Bernardi, Marziano",Poesie,,Vallecchi,1916,BTB Segn. 1501 ,nan
281,Bernardino da Siena,  Uso del verbo latino,Bari,Paravia,1930,BTB Segn. 116 ,nan
282,"Berni, Francesco","Del Caravaggio, delle sue incon gruenze e della sua fama",Information Service,Electa,1935,BTB Segn. 117 ,Nota di possesso autografa di Adele Gadda Lehr. Postille.
283,"Bernini, Ferdinando",  Estetica etica e storia nelle belle arti della rappresentazione visiva,"Milano, Mondadori",Electa,1920,BTB Segn. 2322-2326 ,nan
284,"Bernini, Ferruccio", Un artista fuori del suo tempo. Traduzione di L. Vertova,Milano,Le Monnier,1937,BTB Segn. 2302 ,nan
285,"Berrini, Osvaldo",L’énergie spirituelle,Roma,Presses Universitaires de France,1934,BTB Segn. 2333-2335 ,nan
286,"Bertarelli, Luigi Vittorio", Essai sur les données immédiates de la conscience,Parma,Presses Universitaires de France,1959,BTB Segn. 2301 ,nan
287,"Bertarelli, Luigi Vittorio", L’évolution créatrice,Milano,Presses Universitaires de France,1966,BTB Segn. 2298-2299 ,nan
288,"Bertarelli, Luigi Vittorio", L’evoluzione creatrice,Torino,Corbaccio,1965,BTB Segn. 2328 ,nan
289,"Bertarelli, Luigi Vittorio", La filosofia dell’intuizione. Introduzione di G. Papini,Milano,Carabba,1955,BTB Segn. 2280 ,nan
290,"Bertarelli, Luigi Vittorio", Matière et mémoire,Milano,Presses Universitaires de France,1965,BTB Segn. 2320 ,nan
291,"Bertarelli, Luigi Vittorio", La pensée et le mouvant,Milano,Presses Universitaires de France,1963,BTB Segn. 2330 ,nan
292,"Bertarelli, Luigi Vittorio",Saggio di una nuova teoria della visione,Milano,Saggio di una nuova teoria della visione.,1964,BTB Segn. 2330 ,nan
293,"Bertarelli, Luigi Vittorio",Trattato dei principi della conoscenza umana,"Milano,TCI",Laterza,1971,BTB Segn. 2319 ,nan
294,"Bertarelli, Luigi Vittorio","Berlino Ovest: accampamenti militari americani. Roma,U.S",Milano,U.S. Information Service,1970,BTB Segn. 1440 ,Sottolineature.
295,"Bertarelli, Luigi Vittorio",Antonio Fontanesi,Milano,Mondadori,1951,BTB Segn. 207 ,nan
296,"Bertarelli, Luigi Vittorio",Le più belle pagine. Scelte da P. Misciattelli,,Treves,1955,BAL ,Dedica dell’autore in data 15.11.1965.
297,"Bertati, Giovanni",Le Rime e la Catrina,Milano,Formìggini,1962,BAL ,Dedica dell’autore
298,"Berti, Luigi",Storia di Parma,Milano,Battei,1941,BAL ,Dedica dell’autore in data 15.09.1964.
299,"Berto, Giuseppe",Ovidio,Milano,Bietti,1940,BAL ,nan
300,"Berto, Giuseppe",Trattatello elementare di antichità greche e romane prescritte dairecenti programmi ministeriali alla 3a e 4a classe ginnasiale,Sesto San Giovanni,Paravia,1950,BAL ,nan
301,"Berto, Giuseppe",Italia centrale,"Firenze, Vallecchi",TCI,1949,BAL ,nan
302,"Berto, Giuseppe","Italia insulare, possedimenti e colonie",Milano,TCI,1943,BAL ,nan
303,"Berto, Giuseppe",Italia meridionale,Milano,TCI,1951,BTB Segn. Op. 56 ,nan
304,"Berto, Giuseppe",Italia meridionale,"Milano, Garzanti",TCI,1951,BAL ,Dedica dell’autore.
305,"Bertolazzi, Carlo",Italia settentrionale,"Milano, Nuova accademia",TCI,1907,BTB Segn. 208 ,Dedica dell’autore.
306,"Bertolini, Francesco",Liguria – Toscana – Emilia settentrionale,"Milano, Longanesi",TCI,1930,BTB Segn. 209 ,Dedica dell’autore in data 6.1971.
307,"Bertolucci, Attilio",Piemonte,Brescia,TCI,1928,BTB Segn. 210 ,Dedica dell’autore.
308,"Bertolucci, Attilio","Piemonte – Lombardia – Canton Ticino. Milano, TCI(« d’Italia del TCI»)",Torino,TCI(« d’Italia del TCI»).,1932,BTB Segn. 2422 ,nan
309,"Bertolucci, Bernardo",Toscana,"Milano, Feltrinelli",TCI,1933,BTB Segn. 2423 ,nan
310,"Bertoni, Giulio",Le Tre Venezie,"Milano, Vallardi",TCI,1927,BTB Segn. 2194 ,nan
311,"Bertoni, Giulio", Umbria,"Firenze, Sansoni",TCI,1929,BTB Segn. 1598 ,nan
312,"Bertram, Anthony",Il matrimonio segreto,Viaggio d’inverno (,Barion,1922,BTB Segn. Op. 29 ,nan
313,"Bertrand, Louis",Storie di Rio,"Milano, Longanesi",Vallecchi,1924,BTB Segn. 2031-2032 ,nan
314,"Bertù, Berto",La cosa buffa,Modena,Rizzoli,1968,BTB Segn. 2206 ,nan
315,"Bessière, Gustave", La fantarca,Modena,Rizzoli,1961,BTB Segn. 2230 ,nan
316,"Besson, Georges", Guerra in camicia nera,"LondonNew York, The Studio Publications",Garzanti,1454,BTB Segn. 2021 ,Nota di possesso autografa.
317,"Besson, Georges", Le opere di Dio,Paris,Nuova accademia,1845,BTB Segn. 211 ,Dedica dell’autore in data 26.8.1955.
318,"Besta, Riccardo", Un po’ di successo,", Marinara",Longanesi,1951,BTB Segn. Op. 30 ,Dedica dell’autore. Postille.
319,"Betocchi, Carlo", L’uomo e la sua morte: dramma in due parti,"Milano, Hoepli",Morcelliana,1960,BTB Segn. 212 ,Dedica dell’autore.
320,"Betti, Emilio",El nost Milan e altre commedie,Paris,Einaudi,1953,BTB Segn. 215 ,Dedica dell’autore.
321,"Betti, Ugo","Bertoli, Pietro Non pace ma la spada",Paris,Feltrinelli,1938,BAL ,nan
322,"Betti, Ugo",Storia antica ad uso delle scuole secondarie,Milano,s.d.,1940,BTB Segn. 214 ,Dedica dell’autore.
323,"Betti, Ugo",La capanna indiana,Modenese,Sansoni,1940,BTB Segn. 213 ,nan
324,"Betti, Ugo",Id,"Milano, Mondadori",Id. Viaggio d’inverno (,1948,BTB Segn. Op. 115 ,Dedica dell’autore.
325,"Betti, Ugo",In cerca di mistero,Milano,Longanesi,1946,BAL ,nan
326,"Betti, Ugo",Introduzione alla filologia,Estratto da «La Nuova Antologia»,Soc. Tip. Modenese,1954,BAL ,nan
327,"Bevilacqua, Alberto", Profilo linguistico d’Italia,Torino,Soc. Tip. Modenese,1938,BTB Segn. 1726 ,Nota di possesso autografa di Adele Gadda Lehr.
328,"Biagini, Mario",Hieronymus Bosch,Milano,The Studio Publications,1940,BTB Segn. 2348 ,Nota di possesso autografa di Adele Gadda Lehr.
329,"Bianchi, Celestino",Louis XIV,Roma,Fayard,1942,BTB Segn. 2400 ,nan
330,"Bianchi, Matteo",Dizionario del gergo marinaresco (A B). s.l,"Milano, Rizzoli",s.d.,1943,BAL ,nan
331,"Bianchi, Pietro",Il calcolo differenziale ed integrale reso facile ed attraente. Traduzione di C. Rossi,"Milano, Mursia",Hoepli,1958,BTB Segn. 2198 ,nan
332,"Bianciardi, Luciano",Claude Monet,"Firenze, Società Editrice Fiorentina",Braun,1968,BTB Segn. 1769 ,nan
333,"Bianconi, Pietro", Monet,Parma,Braun,1846,BTB ,nan
334,Biblia sacra juxta vulgatam,Anatomia e fisiologia comparate,Milano,Hoepli,1959,BTB Segn. 762 ,nan
335,"Bigliazzi, Francesco",Poesie,Milano,Poesie,1938,BTB Segn. 216 ,Dedica dell’autore in data 1.5.1946.Parzialmente intonso.
336,"Bignone, Ettore","Diritto romano e dogmatica odierna. Modena, Soc. Tip","RomaParis, Desclée",Soc. Tip. Modenese,1951,BTB Segn. 2263 ,nan
337,"Bigongiari, Piero",Canzonette. La morte,Milano,Mondadori,1939,BTB Segn. 217 ,Intonso.
338,"Bigongiari, Piero", Le case,Firenze,Mondadori,1940,BTB Segn. 218 ,Dedica dell’autore. Parzialmente intonso.
339,"Id. – Angioletti, Giovanni Battista", Il mercante di frottole,"Firenze, Marzocco",14 maggio,1938,BTB Segn. 219 ,Dedica dell’autore in data 14.12.1942.Parzialmente intonso.
340,"Bilenchi, Romano", La padrona,Firenze,Ribet,1944,BTB Segn. 220 ,Dedica dell’autore in data 20.4.1943.Parzialmente intonso.
341,"Bilenchi, Romano", Il re pensieroso,Torino,Treves,1950,BAL ,nan
342,"Bilenchi, Romano", Versi,Fi renze,Nuova Antologia,1855,BTB Segn. 221 ,"Dedica dell’autore, Firenze, 2.1943."
343,"Bilenchi, Romano",L’occhio del gatto,Firenze,Rizzoli,1962,BTB Segn. 1159 ,nan
344,"Bilenchi, Romano",Il poeta della terza Italia: vita di Giosuè Carducci,"Firenze, Vallecchi",Mursia,1910,BTB Segn. 1239 ,nan
345,"Bilenchi, Romano",Manuale di storia moderna (,"Firenze, Vallecchi",Manuale di storia moderna (,1942,BTB Segn. 118 ,Dedica dell’autore in data 9.1938. Parzial mente intonso.
346,.,Geografia politica dell’Italia,Firenze,Società Editrice Fiorentina,1937,BAL ,nan
347,"Bisinger, Gerald",HenriGeorges Clouzot,,Guanda,1752,BTB Segn. 763 ,Dedica dell’autore.
348,"Blanc, Charles",Da Quarto a Torino: breve storia della spedizione dei Mille,,Feltrinelli,1915,BTB Segn. 1119 ,Dedica dell’autore in data 5.1940. Pieghe.
349,"Blixen, Karen",Tutta la pittura del Correggio,Berlin,Rizzoli,1931,BAL ,Nota di possesso autografa in data 1945.
350,"Bo, Carlo",clementinam,"St Hilaire,Cormon Et Blanc",Desclée,1969,BTB Segn. 222-223 ,nan
351,"Bo, Carlo", Come visitare Firenze e i suoidintorni,"Milano, Feltrinelli",Tip. Capello,1886,BTB Segn. 224 ,Dedica.
352,"Bo, Carlo",Il libro della letteratura greca:storia della letteratura greca conun’antologia delle più belle pagine di prosa e di poesia dei maggiori scrittori,Firenze,Sansoni,1883,BAL ,Postille.
353,"Bo, Carlo",L’elaborazione della lirica leopardiana,Torino,Marzocco,1972,BTB Segn. 1931 ,nan
354,"Boccaccio, Giovanni",Studi,Firenze,Vallecchi,1930,BTB Segn. 1823 ,nan
355,"Boccaccio, Giovanni"," – Angioletti, Giovanni BattistaTestimone in Grecia",Brescia,ERI,1934,BTB Segn. 225-226 ,nan
356,"Boccaccio, Giovanni",Anna e Bruno e altri racconti,Milano,Parenti,1940,BTB Segn. 964 ,Sottolineature e postille. Nota di possesso di Clara Gadda.
357,"Boccaccio, Giovanni",Conservatorio di Santa Teresa,"Roma, Colombo Editore",Vallecchi,1944,BTB Segn. 2286 ,nan
358,"Bodini, Vittorio",Dino e altri racconti,"Milano, Rizzoli",Vallecchi,1965,BTB Segn. 1782 ,nan
359,"Bodrero, Emilio",Mio cugino Andrea,Siena,Vallecchi,1937,BTB Segn. 1783 ,nan
360,"Boezio, Severino",Racconti,Milano,Vallecchi,1968,BAL ,Dedica dell’autore in data 2.1969.
361,"Boiardo, Matteo Maria","La siccità. Firenze, Rivoluzione,s.d",Milano,s.d.,1929,BTB Segn. 1502 ,Nota di possesso autografa.
362,"Bonacossa, Aldo",.Edizione limitata di 400 esemplari,Firenze,.Edizione limitata di 400 esemplari.,1955,BTB Segn. 2285 ,Nota di possesso autografa di Luisa Gadda.
363,Bonaventura da Bagnoregio,Sieben Gedichte zum Vorlesen,Milano,Literarische Colloquium,1937,BAL ,Dedica dell’autore. Piega.
364,"Bonavia, Calogero","  portatif FrançaisItalien et ItalienFrançais, abrégé de celui de Cormon et Manniavec l’accent prosodique surchaque mot italien","Paris, David à la Plume d’OrDurand au Griffon",Cormon Et Blanc,1955,BTB Segn. 1498 ,Dedica dell’autore in data 1.1932.
365,"Boneschi, Francesco",La mia Africa,"Milano, Club Alpino Italiano",Feltrinelli,1920,BTB Segn. 227 ,Dedica dell’autore in data 12.1933.
366,"Bonfadini, Romualdo",Delle immagini giovanili diSainteBeuve,"Firenze, Rinascimento del Libro",Parenti,1950,BTB Segn. 228 ,nan
367,"Bonfadini, Romualdo", Inchiesta sul neorealismo,,ERI,1953,BTB Segn. 229 ,nan
368,"Bonfantini, Mario", Otto studi,Milano,Vallecchi,1952,BTB Segn. 230 ,Dedica dell’autore in data 3.6.1966.
369,"Bongiovanni, Giannetto", Saggi di letteratura francese,Milano,Morcelliana,1942,BTB Segn. 232 ,Dedica dell’autore in data 29.6.1937.
370,"Bonsanti, Alessandro",  Il decamerone,Milano,Hoepli,1940,BTB Segn. 231 ,Dedica dell’autore in data 16.4.1968. Sottolineature e postille.
371,"Bonsanti, Alessandro", Il Decamerone,"Torino, Einaudi",Colombo Editore,1924,BTB Segn. 233 ,Dedica dell’autore 19.6.1930.
